X,Y,name,location,cuisine,website,delivery
-6.34155,54.1769,Pro-Performance Nutrition,Newry,Pre Made Meals,https://www.facebook.com/propernut/,Delivery ✅
-5.93936,54.66682,The Butchers Monkstown,Newtownabbey,Butchers,https://www.facebook.com/TheButchersMonkstown/,Delivery ✅
-5.70024,54.5943,Clives Country Corner,Newtownards,Fruit and Veg,https://www.clivesonline.co.uk/?fbclid=IwAR1iejT5uUvepfNR_zFkDsetgA4sYrlpq80lCRryRaYxrt5v2AR5ZbiIyM4,Delivery ✅
-5.70024,54.5943,Knotts Bakery,Newtownards,Bakery,https://www.facebook.com/knottsbakery/,Delivery ✅
-5.70024,54.5943,Orrs Butchers,Newtownards,Butchers,https://www.facebook.com/orrs.butchers/,Delivery ✅
-5.93936,54.66682,Owen McMahons Family Butcher,Newtownabbey,Butchers,https://www.facebook.com/mcmahonsbutchers/,Delivery ✅
-6.692688364,54.61037493,Farm Next Door,Northern Ireland,Farm Shop,https://farmnextdoor.uk/,Delivery ✅
-6.692688364,54.61037493,Keenan Seafood,Northern Ireland,Fish,https://www.facebook.com/keenanseafoods/,Delivery ✅
-6.692688364,54.61037493,Mourne Fishbox,Northern Ireland,Fish,https://www.facebook.com/mournefishbox/,Delivery ✅
-6.692688364,54.61037493,Oh So Lean,Northern Ireland,Pre Made Meals,https://www.facebook.com/OhSoLean/,Delivery ✅
-6.692688364,54.61037493,Reubens Gourmet Meals,Northern Ireland,Pre Made Meals,https://www.reubensmeals.co.uk/,Delivery ✅
-7.29674,54.6005,Railway Cottage Farm Shop ,Omagh,Farm Shop,https://www.facebook.com/railwaycottagefarmshop/,Delivery ✅
-3.19896,55.95331,The mini market,Eastside,Groceries,https://www.facebook.com/Orangefield-Mini-Market-1375533009196789/,Delivery ✅
-6.596838035,54.36439742,Chapmans Farm Fresh,Portadown,Farm Shop,https://www.facebook.com/Chapmans-Farm-Fresh-412124342265051/,Delivery ✅
-6.596838035,54.36439742,Karri Kitchen,Portadown,Pre Made Meals,https://www.facebook.com/karrikitchen/,Delivery ✅
-6.596838035,54.36439742,Hoy's Butchers,Portadown,Butchers,https://www.facebook.com/Hoys-Butchers-107215157587720/,Delivery ✅
-6.596838035,54.36439742,Rosemount Cottage Farm Meats,Portadown,Farm Shop,https://www.facebook.com/rosemountcottagefarmmeats/,Delivery ✅
-6.596838035,54.36439742,Weir's Organic Raw Milk,Portadown,Milk Men,https://www.facebook.com/Weirs-Organic-Raw-Milk-422591707846805/,Delivery ✅
